

-------THE SECURE LOOP FRAME OUTPUT-------

Requested Action	: Analyse Secure Loop Frames
Generated on	: Thu Apr 14 19:17:39 2011
Line Number	      : 1
Time Slot Number  : 31
Sub Channel Number: 0
Direction         : R1(Receieved)

-----------------------------------------------------------------------------------------------------------------------
Date Time		Line&TS	Message Name
-----------------------------------------------------------------------------------------------------------------------
16:14:22.48046800 L1R1TS31SC0 CAVA_REQ      MSG
16:14:22.66043300 L1R1TS31SC0 CAVA_REQ      MSG
16:14:22.84089900 L1R1TS31SC0 CAVA_REQ      MSG
16:14:23.01986500 L1R1TS31SC0 CAVA_REQ      MSG
16:14:23.19983000 L1R1TS31SC0 CAVA_REQ      MSG
16:14:23.38279500 L1R1TS31SC0 CAVA_REQ      MSG
16:14:23.56925900 L1R1TS31SC0 CAVA_REQ      MSG
16:14:23.74922500 L1R1TS31SC0 CAVA_REQ      MSG
16:14:23.92919000 L1R1TS31SC0 CAVA_REQ      MSG
16:14:24.10915500 L1R1TS31SC0 CAVA_REQ      MSG
16:14:24.28912200 L1R1TS31SC0 CAVA_REQ      MSG
16:14:24.46858700 L1R1TS31SC0 CAVA_REQ      MSG
16:14:24.64855200 L1R1TS31SC0 CAVA_REQ      MSG
16:14:24.82851800 L1R1TS31SC0 CAVA_REQ      MSG
16:14:25.00848300 L1R1TS31SC0 CAVA_REQ      MSG
16:14:25.18844800 L1R1TS31SC0 CAVA_REQ      MSG
16:14:25.36791400 L1R1TS31SC0 CAVA_REQ      MSG
16:14:25.54787900 L1R1TS31SC0 CAVA_REQ      MSG
16:14:25.72784400 L1R1TS31SC0 CAVA_REQ      MSG
16:14:25.90780900 L1R1TS31SC0 CAVA_REQ      MSG
16:14:26.08827600 L1R1TS31SC0 CAVA_REQ      MSG
16:14:26.26724000 L1R1TS31SC0 CAVA_REQ      MSG
16:14:26.44720700 L1R1TS31SC0 CAVA_REQ      MSG
16:14:26.62717200 L1R1TS31SC0 CAVA_REQ      MSG
16:14:26.80713700 L1R1TS31SC0 CAVA_REQ      MSG
16:14:26.98710200 L1R1TS31SC0 CAVA_REQ      MSG
16:14:27.17206700 L1R1TS31SC0 CAVA_REQ      MSG
16:14:27.35703200 L1R1TS31SC0 CAVA_REQ      MSG
16:14:27.53649700 L1R1TS31SC0 CAVA_REQ      MSG
16:14:27.71646200 L1R1TS31SC0 CAVA_REQ      MSG
16:14:27.89642800 L1R1TS31SC0 CAVA_REQ      MSG
16:14:28.07589300 L1R1TS31SC0 CAVA_REQ      MSG
16:14:28.25585800 L1R1TS31SC0 CAVA_REQ      MSG
16:14:28.43582500 L1R1TS31SC0 CAVA_REQ      MSG
16:14:28.61579000 L1R1TS31SC0 CAVA_REQ      MSG
16:14:28.79525500 L1R1TS31SC0 CAVA_REQ      MSG
16:14:28.97522100 L1R1TS31SC0 CAVA_REQ      MSG
16:14:29.15518600 L1R1TS31SC0 CAVA_REQ      MSG
16:14:29.33565100 L1R1TS31SC0 CAVA_REQ      MSG
16:14:29.51511800 L1R1TS31SC0 CAVA_REQ      MSG
16:14:29.69458300 L1R1TS31SC0 CAVA_REQ      MSG
16:14:29.87454800 L1R1TS31SC0 CAVA_REQ      MSG
16:14:30.05451400 L1R1TS31SC0 CAVA_REQ      MSG
16:14:30.23447900 L1R1TS31SC0 CAVA_REQ      MSG
16:14:30.41444400 L1R1TS31SC0 CAVA_REQ      MSG
16:14:30.59391100 L1R1TS31SC0 CAVA_REQ      MSG
16:14:30.77387600 L1R1TS31SC0 CAVA_REQ      MSG
16:14:30.95384100 L1R1TS31SC0 CAVA_REQ      MSG
16:14:31.13380600 L1R1TS31SC0 CAVA_REQ      MSG
16:14:31.31377200 L1R1TS31SC0 CAVA_REQ      MSG
16:14:31.49323800 L1R1TS31SC0 CAVA_REQ      MSG
16:14:31.67470300 L1R1TS31SC0 CAVA_REQ      MSG
16:14:31.85316900 L1R1TS31SC0 CAVA_REQ      MSG
16:14:32.03313400 L1R1TS31SC0 CAVA_REQ      MSG
16:14:32.21309900 L1R1TS31SC0 CAVA_REQ      MSG
16:14:32.39556400 L1R1TS31SC0 CAVA_REQ      MSG
16:14:32.58352800 L1R1TS31SC0 CAVA_REQ      MSG
16:14:32.76249500 L1R1TS31SC0 CAVA_REQ      MSG
16:14:32.94246000 L1R1TS31SC0 CAVA_REQ      MSG
16:14:33.12242500 L1R1TS31SC0 CAVA_REQ      MSG
16:14:33.30189100 L1R1TS31SC0 CAVA_REQ      MSG
16:14:33.48185600 L1R1TS31SC0 CAVA_REQ      MSG
16:14:33.66182100 L1R1TS31SC0 CAVA_REQ      MSG
16:14:33.84178700 L1R1TS31SC0 CAVA_REQ      MSG
16:14:34.02125300 L1R1TS31SC0 CAVA_REQ      MSG
16:14:34.20121800 L1R1TS31SC0 CAVA_REQ      MSG
16:14:34.38368300 L1R1TS31SC0 CAVA_REQ      MSG
16:14:34.56114900 L1R1TS31SC0 CAVA_REQ      MSG
16:14:34.74111400 L1R1TS31SC0 CAVA_REQ      MSG
16:14:34.92058100 L1R1TS31SC0 CAVA_REQ      MSG
16:14:35.10054600 L1R1TS31SC0 CAVA_REQ      MSG
16:14:35.28051100 L1R1TS31SC0 CAVA_REQ      MSG
16:14:35.46047600 L1R1TS31SC0 CAVA_REQ      MSG
16:14:35.64044200 L1R1TS31SC0 CAVA_REQ      MSG
16:14:35.81990700 L1R1TS31SC0 CAVA_REQ      MSG
16:14:35.99987300 L1R1TS31SC0 CAVA_REQ      MSG
16:14:36.18183700 L1R1TS31SC0 CAVA_REQ      MSG
16:14:36.36980200 L1R1TS31SC0 CAVA_REQ      MSG
16:14:36.54976700 L1R1TS31SC0 CAVA_REQ      MSG
16:14:36.72923300 L1R1TS31SC0 CAVA_REQ      MSG
16:14:36.90919900 L1R1TS31SC0 CAVA_REQ      MSG
16:14:37.08916400 L1R1TS31SC0 CAVA_REQ      MSG
16:14:37.26912900 L1R1TS31SC0 CAVA_REQ      MSG
16:14:37.44909500 L1R1TS31SC0 CAVA_REQ      MSG
16:14:37.62856100 L1R1TS31SC0 CAVA_REQ      MSG
16:14:37.80852600 L1R1TS31SC0 CAVA_REQ      MSG
16:14:37.98849200 L1R1TS31SC0 CAVA_REQ      MSG
16:14:38.17145600 L1R1TS31SC0 CAVA_REQ      MSG
16:14:38.35842100 L1R1TS31SC0 CAVA_REQ      MSG
